Country or Area,Year,Area,City,Reliability,Source Year,Value,Value Footnotes
Ukraine,2007,Total,Krementchug,"Final figure, complete",2007,104843,
Italy,2004,Total,Giugliano in Campania,"Final figure, complete",2005,104843,
Russian Federation,2004,Total,Bataisk,"Final figure, complete",2005,104832,"16,17"
Russian Federation,2007,Total,Armavir,"Final figure, complete",2008,104831,
Ukraine,2012,Total,Lysychansk,"Final figure, complete",2012,104828,
Armenia,2009,Total,Vanadzoz (Kirovakan),"Final figure, complete",2010,104825,
Brazil,2010,Total,Petrolina,"Final figure, complete",2012,104817,
Iran (Islamic Republic of),2011,Total,Fasa,"Final figure, complete",2013,104809,
Japan,2003,Total,Yatsushiro,"Final figure, complete",2003,104809,"12,13"
Italy,2013,Total,Bolzano,"Final figure, complete",2014,104802,
Israel,2004,Total,Ashqelon,"Final figure, complete",2005,104800,
Japan,2004,Total,Numazu,"Final figure, complete",2004,104795,"12,13"
India,2001,Total,Barshi,"Final figure, complete",2007,104785,5
Japan,2010,Total,Joetsu,"Final figure, complete",2012,104784,13
Italy,2011,Total,Taranto,"Final figure, complete",2012,104779,
Ukraine,2011,Total,Kirovograd,"Final figure, complete",2011,104777,
Thailand,2010,Total,Chachoengsao,"Final figure, complete",2013,104775,
Netherlands,2003,Total,Ede,"Final figure, complete",2003,104771,102
Slovenia,2006,Total,Maribor,"Final figure, complete",2007,104767,
Costa Rica,2007,Total,LimÃ_n,"Final figure, complete",2007,104763,
Finland,2003,Total,Tampere,"Final figure, complete",2004,104761,
Mauritius,2015,Total,Beau Bassin - Rose Hill,"Final figure, complete",2016,104760,154
India,2001,Total,Mormugoa,"Final figure, complete",2007,104758,5
Algeria,1998,Total,El Eulma,"Final figure, complete",2003,104758,
Argentina,2015,Total,Comodoro Rivadavia-Rada Tilly,"Final figure, complete",2015,104755,11
Malaysia,2010,Total,Air Itam,"Final figure, complete",2013,104752,
Japan,2005,Total,Sanjo,"Final figure, complete",2007,104749,"12,13"
Japan,2005,Total,Fujimi,"Final figure, complete",2007,104748,"12,13"
Spain,2013,Total,MÃ_stoles,"Final figure, complete",2014,104745,
Russian Federation,2010,Total,Obninsk,"Final figure, complete",2013,104739,
Russian Federation,2010,Total,Obninsk,"Final figure, complete",2013,104739,
Russian Federation,2010,Total,Zhukovsky,"Final figure, complete",2013,104736,
Russian Federation,2010,Total,Zhukovsky,"Final figure, complete",2013,104736,
Serbia,2014,Total,Subotica,"Final figure, complete",2015,104721,67
Brazil,2010,Total,Praia Grande,"Final figure, complete",2012,104702,
Mongolia,2014,Total,Selenge,"Final figure, complete",2015,104701.5,
Poland,2012,Total,Radom,"Final figure, complete",2013,104699,66
Netherlands,2009,Total,Eindhoven,"Final figure, complete",2009,104699,
Italy,2010,Total,Novara,"Final figure, complete",2011,104693.5,
Russian Federation,2009,Total,Leninsk-Kuznetsky,"Final figure, complete",2010,104689,
Brazil,2010,Total,Salto,"Final figure, complete",2012,104688,
Brazil,2010,Total,Salto,"Final figure, complete",2012,104688,
Nigeria,1991,Total,Awka,"Final figure, complete",2002,104682,
Japan,2004,Total,Kishiwada,"Final figure, complete",2004,104681,"12,13"
Japan,2000,Total,Tokuyama,"Final figure, complete",2009,104672,"12,13"
Brazil,2010,Total,Votorantim,"Final figure, complete",2012,104659,
Brazil,2010,Total,Votorantim,"Final figure, complete",2012,104659,
United States of America,2012,Total,Everett (WA),"Final figure, complete",2014,104655,"3,26"
Thailand,2000,Total,Surin,"Final figure, complete",2000,104651,30
Australia,2008,Total,Launceston,Provisional figure,2008,104649,"46,47"
India,2001,Total,Bhavani,"Final figure, complete",2007,104646,5
Switzerland,2006,Total,Olten-Zofingen,"Final figure, complete",2006,104644,
Algeria,1998,Total,Ghilizane,"Final figure, complete",2003,104644,
El Salvador,2003,Total,Cuscatancingo,"Final figure, complete",2004,104640,119
Spain,2001,Total,Huelva,"Final figure, complete",2009,104636,
Japan,2005,Total,Shibata,"Final figure, complete",2007,104634,"12,13"
Belarus,2010,Total,Novopolotsk,"Final figure, complete",2011,104624,63
Spain,2012,Total,MÃ_stoles,"Final figure, complete",2013,104622,
Thailand,2010,Total,Pattani,"Final figure, complete",2013,104617,
Brazil,2010,Total,Presidente Prudente,"Final figure, complete",2012,104609,
Australia,2009,Total,Albury-Wodonga,Provisional figure,2011,104609,46
Saudi Arabia,1992,Total,Al-Hufuf,"Final figure, complete",2002,104609,
Romania,2012,Total,Piatra Neamt,Provisional figure,2013,104605,
Australia,2013,Total,Hobart,"Final figure, complete",2015,104599,43
Egypt,2006,Total,Luxer,"Final figure, complete",2011,104598,
Japan,2003,Total,Iwakuni,"Final figure, complete",2003,104595,"12,13"
Italy,2014,Total,Novara,"Final figure, complete",2015,104594,
Canada,2014,Total,Sherbrooke,Provisional figure,2015,104592,33
Ukraine,2009,Total,Evpatoria,"Final figure, complete",2009,104589,
Ukraine,2009,Total,Yevpatoriya,"Final figure, complete",2009,104589,
Ukraine,2012,Total,Kirovograd,"Final figure, complete",2012,104569,
Philippines,2010,Total,Trece Martires,"Final figure, complete",2013,104559,
Russian Federation,2009,Total,Zhukovsky,"Final figure, complete",2010,104557,
Spain,2013,Total,Oviedo,"Final figure, complete",2014,104555,
United States of America,2010,Total,Wichita Falls (TX),"Final figure, complete",2013,104553,"3,4"
United States of America,2012,Total,Wichita Falls (TX),"Final figure, complete",2014,104552,"3,26"
Canada,2006,Total,Saskatoon,"Final figure, complete",2011,104550,42
Australia,2010,Total,Hobart,Provisional figure,2012,104549,46
Israel,2007,Total,Ashdod,"Final figure, complete",2008,104548.5,
Japan,2003,Total,Numazu,"Final figure, complete",2003,104545,"12,13"
Russian Federation,2006,Total,Tobolsk,"Final figure, complete",2007,104544,"16,17"
Dominican Republic,2010,Total,La Vega,"Final figure, complete",2012,104536,
Finland,2012,Total,Tampere,"Final figure, complete",2013,104535,110
Finland,2012,Total,Kuopio,"Final figure, complete",2013,104534,110
Denmark,2015,Total,Ã…lborg,"Final figure, complete",2015,104533,"110,115"
Brazil,2010,Total,Vespasiano,"Final figure, complete",2012,104527,
Brazil,2010,Total,Vespasiano,"Final figure, complete",2012,104527,
Poland,2009,Total,Sosnowiec,"Final figure, complete",2010,104517,66
Ukraine,2008,Total,Evpatoria,"Final figure, complete",2008,104517,
Kazakhstan,2006,Total,Uralsk,"Final figure, complete",2007,104509,
Portugal,2006,Total,Porto,"Final figure, complete",2007,104502.5,
New Zealand,2010,Total,Hamilton,"Final figure, complete",2011,104500,
New Zealand,2009,Total,Waitakere,"Final figure, complete",2009,104500,
Israel,2008,Total,Ashdod,"Final figure, complete",2009,104500,"42,100"
Portugal,2012,Total,Porto,"Final figure, complete",2013,104499,
Kazakhstan,2004,Total,Rudni,"Final figure, complete",2004,104495,
Brazil,2010,Total,MagÃ©,"Final figure, complete",2012,104479,
Bangladesh,1991,Total,Pabna,Provisional figure,1991,104479,
Russian Federation,2011,Total,Novotroitsk,"Final figure, complete",2012,104477,
United States of America,2005,Total,Fairfield (CA),"Final figure, complete",2005,104476,"3,4"
Japan,2003,Total,Kishiwada,"Final figure, complete",2003,104474,"12,13"
Chile,2010,Total,Talca,"Final figure, complete",2011,104473.5,31
Spain,2012,Total,Torrevieja,"Final figure, complete",2013,104463,
United States of America,2008,Total,West Jordan (UT),"Final figure, complete",2009,104447,"3,4"
United States of America,2008,Total,Round Rock (TX),"Final figure, complete",2009,104446,"3,4"
Russian Federation,2006,Total,Asbest,"Final figure, complete",2007,104445,"16,17"
Puerto Rico,2013,Total,BayamÃ_n,"Final figure, complete",2015,104441,"124,128"
Canada,2014,Total,Richmond,Provisional figure,2015,104439,33
Italy,2011,Total,Bolzano,Provisional figure,2012,104435,
Italy,2012,Total,Taranto,Provisional figure,2013,104431,
Israel,2012,Total,Ashdod,"Final figure, complete",2014,104429,
Poland,2011,Total,Radom,"Final figure, complete",2013,104429,
United States of America,2009,Total,San Buenaventura (CA),"Final figure, complete",2011,104423,"3,4"
Netherlands,2010,Total,Groningen,"Final figure, complete",2010,104420,
India,2001,Total,Bansberia,"Final figure, complete",2007,104412,5
Romania,2006,Total,Braila,"Final figure, complete",2006,104405,
Switzerland,2009,Total,Luzern,"Final figure, complete",2009,104403,
Poland,2003,Total,Gliwice,"Final figure, complete",2004,104397,66
Japan,2000,Total,Yamato,"Final figure, complete",2009,104395,"12,13"
Poland,2009,Total,Legnica,"Final figure, complete",2010,104393,66
United States of America,2012,Total,Burbank (CA),"Final figure, complete",2014,104391,"3,26"
Latvia,2009,Total,Daugavpils,"Final figure, complete",2010,104390,
United States of America,2009,Total,Lowell (MA),"Final figure, complete",2011,104390,"3,4"
United Kingdom of Great Britain and Northern Ireland,2001,Total,Colchester,"Final figure, complete",2006,104390,"28,29"
Bangladesh,1991,Total,Tangail,Provisional figure,1991,104387,
Iceland,2013,Total,REYKJAVIK,"Final figure, complete",2014,104385.5,"145,146,147"
Japan,2003,Total,Urasoe,"Final figure, complete",2003,104382,"12,13"
Dominican Republic,2002,Total,La Romana,"Final figure, complete",2008,104375,
United States of America,2010,Total,High Point City (NC),"Final figure, complete",2013,104371,"3,4"
Iran (Islamic Republic of),2006,Total,Izeh,"Final figure, complete",2008,104364,
Germany,2011,Total,Erfurt,"Final figure, complete",2014,104362,
Russian Federation,2008,Total,Armavir,"Final figure, complete",2009,104362,
Japan,2010,Total,Tsukuba,"Final figure, complete",2012,104360,13
Russian Federation,2007,Total,Syktivkar,"Final figure, complete",2008,104353,
Belarus,2012,Total,Soligorsk,"Final figure, complete",2013,104352,
Mexico,2010,Total,Fresnillo,"Final figure, complete",2011,104348,
Japan,2005,Total,Tokai,"Final figure, complete",2007,104339,"12,13"
Brazil,2010,Total,PoÃ ,"Final figure, complete",2012,104338,
Russian Federation,2007,Total,Norilsk,"Final figure, complete",2008,104335,
India,2001,Total,Secunderabad,"Final figure, complete",2007,104335,5
Germany,1999,Total,Erfurt,"Final figure, complete",1999,104330,
Netherlands,2009,Total,Heerlen-Kerkrade,"Final figure, complete",2009,104323,
Japan,2005,Total,Nishio,"Final figure, complete",2007,104321,"12,13"
Ukraine,2011,Total,Ivano-Frankivsk,"Final figure, complete",2011,104316,
Oman,2003,Total,Sohar,"Final figure, complete",2007,104312,
India,2001,Total,Jetpur Navagadh,"Final figure, complete",2007,104312,5
Ukraine,2009,Total,Ivano-Frankivsk,"Final figure, complete",2009,104310,
Ukraine,2013,Total,Evpatoria,"Final figure, complete",2013,104289,
Ukraine,2013,Total,Yevpatoriya,"Final figure, complete",2013,104289,
Ukraine,2013,Total,Kirovograd,"Final figure, complete",2013,104288,
United States of America,2007,Total,Elgin (IL),"Final figure, complete",2008,104288,"3,4"
Belgium,2009,Total,Charleroi,"Final figure, complete",2011,104276,
Iceland,2014,Total,REYKJAVIK,"Final figure, complete",2015,104274.5,
Germany,2015,Total,Rostock,"Final figure, complete",2015,104271,54
Mauritius,2011,Total,Vacoas - Phoenix,"Final figure, complete",2012,104271,154
Spain,2001,Total,AlmerÃ_a,"Final figure, complete",2009,104270,
Ukraine,2001,Total,Enakievo (Yenakievo),"Final figure, complete",2003,104266,
Poland,2011,Total,Kalisz,"Final figure, complete",2013,104257,
Ukraine,2012,Total,Evpatoria,"Final figure, complete",2012,104252,
Ukraine,2012,Total,Yevpatoriya,"Final figure, complete",2012,104252,
Spain,2001,Total,Santa Cruz de Tenerife,"Final figure, complete",2002,104251,57
Russian Federation,2010,Total,Severodvinsk,"Final figure, complete",2013,104250,
Switzerland,2012,Total,Luzern,"Final figure, complete",2013,104247.5,
Japan,2004,Total,Yatsushiro,"Final figure, complete",2004,104245,"12,13"
Pakistan,1998,Total,Okara,"Final figure, complete",2000,104245,20
Brazil,2010,Total,Sao Carlo,"Final figure, complete",2012,104241,
Russian Federation,2004,Total,Zlatoust,"Final figure, complete",2005,104230,"16,17"
Pakistan,1998,Total,Wah Cantonment,"Final figure, complete",2000,104230,20
Japan,2010,Total,Ikeda,"Final figure, complete",2012,104229,13
India,2001,Total,Deoria,"Final figure, complete",2007,104227,5
United Kingdom of Great Britain and Northern Ireland,2001,Total,Lincoln,"Final figure, complete",2006,104221,"28,29"
United States of America,2009,Total,South Bend (IN),"Final figure, complete",2011,104215,"3,4"
Costa Rica,2009,Total,LimÃ_n,"Final figure, complete",2009,104214,18
Brazil,2010,Total,ItaguaÃ_,"Final figure, complete",2012,104209,
New Zealand,2015,Total,WELLINGTON,"Final figure, complete",2016,104200,
United States of America,2000,Total,Wichita Falls (TX),"Final figure, complete",2002,104197,"3,4"
Japan,2005,Total,Mihara,"Final figure, complete",2007,104196,"12,13"
Brazil,2010,Total,ItaguaÃ_,"Final figure, complete",2012,104195,
United States of America,2005,Total,Pompano Beach (FL),"Final figure, complete",2005,104179,"3,4"
Russian Federation,2012,Total,Elista,"Final figure, complete",2013,104177,
Brazil,2010,Total,Santa Luzia (Minas Gerais),"Final figure, complete",2012,104176,
Brazil,2010,Total,DivinÃ_polis,"Final figure, complete",2012,104174,
United States of America,2010,Total,Billings (MT),"Final figure, complete",2013,104170,"3,4"
Russian Federation,2004,Total,Syktivkar,"Final figure, complete",2005,104167,"16,17"
Uzbekistan,2001,Total,Karshi,"Final figure, complete",2002,104159,
Russian Federation,2010,Total,Podolsk,"Final figure, complete",2013,104158,
Russian Federation,2010,Total,Podolsk,"Final figure, complete",2013,104158,
Ukraine,2008,Total,Krementchug,"Final figure, complete",2008,104157,
United States of America,2005,Total,Denton (TX),"Final figure, complete",2005,104153,"3,4"
Germany,1999,Total,Zwickau,"Final figure, complete",1999,104146,
Japan,2000,Total,Tajimi,"Final figure, complete",2009,104135,"12,13"
Japan,2005,Total,Kishiwada,"Final figure, complete",2007,104134,"12,13"
Japan,2003,Total,Chofu,"Final figure, complete",2003,104133,"12,13"
Ukraine,2007,Total,Evpatoria,"Final figure, complete",2007,104131,
Chile,2015,Total,CuricÃ_,"Final figure, complete",2015,104130,
United States of America,2010,Total,Arlington (VA),"Final figure, complete",2013,104126,"3,4"
United States of America,2012,Total,Palm Bay City (FL),"Final figure, complete",2014,104124,"3,26"
Russian Federation,2007,Total,Tobolsk,"Final figure, complete",2008,104121,
Spain,2006,Total,Alcobendas,"Final figure, complete",2007,104118,
Japan,2004,Total,Iwakuni,"Final figure, complete",2004,104113,"12,13"
Russian Federation,2004,Total,Kiselevsk,"Final figure, complete",2005,104113,"16,17"
Ukraine,2011,Total,Evpatoria,"Final figure, complete",2011,104110,
Ukraine,2011,Total,Yevpatoriya,"Final figure, complete",2011,104110,
United States of America,2005,Total,Burbank (CA),"Final figure, complete",2005,104108,"3,4"
Russian Federation,2010,Total,Novy Urengoy,"Final figure, complete",2013,104107,
Russian Federation,2010,Total,Novy Urengoy,"Final figure, complete",2013,104107,
New Zealand,2013,Total,WELLINGTON,"Final figure, complete",2014,104100,
New Zealand,2005,Total,North Shore,"Final figure, complete",2006,104100,
Germany,2011,Total,Mainz,"Final figure, complete",2014,104094,
Belarus,2009,Total,Novopolotsk,"Final figure, complete",2011,104080,
Brazil,2010,Total,Porto Seguro,"Final figure, complete",2012,104078,
Spain,2001,Total,Badalona,"Final figure, complete",2009,104076,
Australia,2012,Total,Hobart,"Final figure, complete",2014,104074,43
Kenya,2009,Total,Ngong,"Final figure, complete",2016,104073,
Spain,2008,Total,Cartagena,"Final figure, complete",2009,104071,
Australia,2007,Total,Launceston,Provisional figure,2007,104071,"46,114"
United States of America,2007,Total,South Bend (IN),"Final figure, complete",2008,104069,"3,4"
India,2001,Total,Panvel,"Final figure, complete",2007,104058,5
United States of America,2010,Total,Green Bay (WI),"Final figure, complete",2013,104057,"3,4"
Ukraine,2012,Total,Ivano-Frankivsk,"Final figure, complete",2012,104053,
Cameroon,2005,Total,Nkongsamba,"Final figure, complete",2010,104050,
Nigeria,1991,Total,Ilawe-Ekiti,"Final figure, complete",2002,104049,
Italy,2003,Total,Taranto,"Final figure, complete",2004,104048,
Nepal,2011,Total,Dhangadhi,"Final figure, complete",2013,104047,
Russian Federation,2009,Total,Balashikha,"Final figure, complete",2010,104045,
Australia,2005,Total,Hobart,"Final figure, complete",2006,104042,"46,50"
Italy,2004,Total,Taranto,"Final figure, complete",2005,104041,
Russian Federation,2007,Total,Severodvinsk,"Final figure, complete",2008,104034,
Poland,2010,Total,Legnica,"Final figure, complete",2011,104031,66
Germany,2012,Total,Mainz,"Final figure, complete",2012,104028,
Uruguay,2011,Total,Salto,"Final figure, complete",2013,104028,
Canada,2006,Total,Burnaby,"Final figure, complete",2011,104025,42
Ukraine,2013,Total,Lysychansk,"Final figure, complete",2013,104023,
Spain,2008,Total,Sabadell,"Final figure, complete",2009,104022,
Russian Federation,2012,Total,Pushkino,"Final figure, complete",2013,104020,
Belgium,2000,Total,Charleroi,"Final figure, complete",2001,104019,89
Belgium,2007,Total,Charleroi,"Final figure, complete",2008,104018,
Russian Federation,2006,Total,Syktivkar,"Final figure, complete",2007,104018,"16,17"
United States of America,2005,Total,San Buenaventura (CA),"Final figure, complete",2005,104017,"3,4"
China,2000,Total,Linxia,"Final figure, complete",2002,104017,
Japan,2004,Total,Tajimi,"Final figure, complete",2004,104016,"12,13"
Germany,1999,Total,Hildesheim,"Final figure, complete",1999,104013,
Japan,2010,Total,Isesaki,"Final figure, complete",2012,104011,13
Germany,2011,Total,Moers,"Final figure, complete",2014,104009,
Finland,2012,Total,Vantaa,"Final figure, complete",2013,104008,110
United States of America,2000,Total,Salem (OR),"Final figure, complete",2002,104004,"3,4"
Brazil,2010,Total,SantarÃ©m,"Final figure, complete",2012,104001,
United States of America,2008,Total,Billings (MT),"Final figure, complete",2009,103994,"3,4"
United States of America,2007,Total,Fairfield (CA),"Final figure, complete",2008,103992,"3,4"
Spain,2001,Total,CastellÃ_n de la Plana,"Final figure, complete",2009,103984,
Italy,2009,Total,Novara,"Final figure, complete",2010,103982.5,
Germany,2014,Total,Freiburg im Breisgau,"Final figure, complete",2014,103982,
United States of America,2010,Total,Boise City (ID),"Final figure, complete",2013,103981,"3,4"
Russian Federation,2009,Total,Armavir,"Final figure, complete",2010,103980,
Spain,2011,Total,MÃ_stoles,"Final figure, complete",2013,103979,
Chile,2011,Total,Coronel,"Final figure, complete",2012,103976,31
Japan,2000,Total,Atsugi,"Final figure, complete",2009,103975,"12,13"
Sweden,1999,Total,UmeÃ¥,"Final figure, complete",1999,103970,
United States of America,2005,Total,Arvada (CO),"Final figure, complete",2005,103966,"3,4"
Jamaica,1991,Total,KINGSTON,"Final figure, complete",1991,103962,
Finland,2014,Total,Tampere,"Final figure, complete",2015,103955,"109,110"
United States of America,2000,Total,Yonkers (NY),"Final figure, complete",2002,103954,"3,4,141"
India,2001,Total,Vaniyambadi,"Final figure, complete",2007,103950,5
Belarus,1999,Total,Bobruisk,"Final figure, complete",2009,103944,
Russian Federation,2010,Total,Leninsk-Kuznetsky,"Final figure, complete",2013,103938,
Portugal,2001,Total,Funchal,"Final figure, complete",2009,103932,
Belgium,2001,Total,Charleroi,"Final figure, complete",2009,103927,
Canada,2014,Total,St. John's,Provisional figure,2015,103926,33
Estonia,2011,Total,Tartu,"Final figure, complete",2012,103924,
Ukraine,2001,Total,Bila Tserkva,"Final figure, complete",2003,103923,
Netherlands,2005,Total,Heerlen-Kerkrade,"Final figure, complete",2005,103922,
Canada,2006,Total,Kitchener-Cambridge-Waterloo,"Final figure, complete",2011,103920,42
Mexico,2010,Total,Tula,"Final figure, complete",2011,103919,
Uzbekistan,2001,Total,Nukus,"Final figure, complete",2002,103918,
Ukraine,2008,Total,Ivano-Frankivsk,"Final figure, complete",2008,103917,
Philippines,2010,Total,Tabuk,"Final figure, complete",2013,103912,
Poland,2004,Total,Gliwice,"Final figure, complete",2005,103911,66
Chile,2012,Total,La Serena,"Final figure, complete",2012,103909,31
Russian Federation,2009,Total,Mezhdurechensk,"Final figure, complete",2010,103905,
New Zealand,2005,Total,Tauranga,"Final figure, complete",2006,103900,
Israel,2003,Total,Ashqelon,"Final figure, complete",2004,103900,
United States of America,2010,Total,Des Moines (IA),"Final figure, complete",2013,103898,"3,4"
Costa Rica,2000,Total,Heredia,"Final figure, complete",2009,103894,
Russian Federation,2009,Total,Kiselevsk,"Final figure, complete",2010,103880,
United States of America,2007,Total,Midland City (TX),"Final figure, complete",2008,103880,"3,4"
Belgium,2006,Total,Charleroi,"Final figure, complete",2006,103879,89
Russian Federation,2008,Total,Mezhdurechensk,"Final figure, complete",2009,103878,
Netherlands,2008,Total,Eindhoven,"Final figure, complete",2008,103877,
India,2001,Total,Gandhinagar,"Final figure, complete",2007,103876,5
Netherlands,2011,Total,Tilburg,"Final figure, complete",2011,103874,
Germany,2014,Total,Rostock,"Final figure, complete",2014,103872,
Mauritius,2000,Total,Beau Bassin - Rose Hill,"Final figure, complete",2009,103872,154
El Salvador,2007,Total,Ilopango,"Final figure, complete",2009,103862,
Russian Federation,2004,Total,Engels,"Final figure, complete",2005,103855,"16,17"
Japan,2000,Total,Chofu,"Final figure, complete",2009,103846,"12,13"
Russian Federation,2012,Total,Noginsk,"Final figure, complete",2013,103843,
Nigeria,1991,Total,Ikare,"Final figure, complete",2002,103843,
Iran (Islamic Republic of),2006,Total,Neyshabur,"Final figure, complete",2011,103841,
Chile,2015,Total,San Pedro de la Paz,"Final figure, complete",2015,103836,
Switzerland,2008,Total,Zug,"Final figure, complete",2008,103831,
Spain,2013,Total,JÃ©rez de la Frontera,"Final figure, complete",2014,103825,
Japan,2005,Total,Tajimi,"Final figure, complete",2007,103821,"12,13"
United Kingdom of Great Britain and Northern Ireland,2001,Total,Aberdeen,"Final figure, complete",2006,103818,"28,29"
United States of America,2008,Total,Erie (PA),"Final figure, complete",2009,103817,"3,4"
Russian Federation,2011,Total,Elista,"Final figure, complete",2012,103815,
Russian Federation,2008,Total,Kiselevsk,"Final figure, complete",2009,103814,
Brazil,2010,Total,Petrolina,"Final figure, complete",2012,103808,
United States of America,2008,Total,South Bend (IN),"Final figure, complete",2009,103807,"3,4"
Spain,2011,Total,JÃ©rez de la Frontera,"Final figure, complete",2014,103805,
United States of America,2007,Total,Pueblo (CO),"Final figure, complete",2008,103805,"3,4"
Romania,2002,Total,Braila,"Final figure, complete",2009,103801,
Israel,2003,Total,Rishon Leziyyon,"Final figure, complete",2004,103800,
Netherlands,2010,Total,Heerlen-Kerkrade,"Final figure, complete",2010,103793,
Israel,2006,Total,Rehovot,"Final figure, complete",2007,103793,
Brazil,2010,Total,Sao Leopoldo,"Final figure, complete",2012,103790,
Brazil,2010,Total,Sao Leopoldo,"Final figure, complete",2012,103790,
Bangladesh,2001,Total,Barisal,"Final figure, complete",2006,103785,
Japan,2003,Total,Tajimi,"Final figure, complete",2003,103784,"12,13"
Germany,2012,Total,Rostock,"Final figure, complete",2012,103782,
Switzerland,2012,Total,Winterthur,"Final figure, complete",2013,103771.5,
Spain,2009,Total,MÃ_stoles,"Final figure, complete",2011,103766,
Iran (Islamic Republic of),2011,Total,Quchan,"Final figure, complete",2013,103760,
Colombia,2005,Total,Yopal,"Final figure, complete",2008,103754,
Russian Federation,2010,Total,Elista,"Final figure, complete",2013,103749,
Ukraine,2009,Total,Krementchug,"Final figure, complete",2009,103749,
India,2001,Total,Chandausi,"Final figure, complete",2007,103749,5
India,2001,Total,Raurkela,"Final figure, complete",2007,103747,5
Spain,2012,Total,JÃ©rez de la Frontera,"Final figure, complete",2013,103746,
United States of America,2012,Total,Centennial (CO),"Final figure, complete",2014,103743,"3,26"
France,2008,Total,Saint-Denis,"Final figure, complete",2011,103742,61
Italy,2003,Total,Giugliano in Campania,"Final figure, complete",2004,103735,
Canada,2011,Total,Sherbrooke,"Final figure, complete",2013,103725,
United States of America,2000,Total,Springfield (MO),"Final figure, complete",2002,103722,"3,4"
Germany,2011,Total,Erlangen,"Final figure, complete",2014,103720,
United States of America,2007,Total,Norwalk (CA),"Final figure, complete",2008,103720,"3,4"
Brazil,2010,Total,Santa Rita,"Final figure, complete",2012,103717,
Russian Federation,2008,Total,Zhukovsky,"Final figure, complete",2009,103717,
United States of America,2000,Total,Erie (PA),"Final figure, complete",2002,103717,"3,4"
United States of America,2010,Total,West Jordan (UT),"Final figure, complete",2013,103712,"3,4"
Romania,2006,Total,Braila,"Final figure, complete",2007,103710,
Canada,2001,Total,Barrie,"Final figure, complete",2009,103710,
Spain,2010,Total,MÃ_stoles,"Final figure, complete",2012,103708,
United States of America,2008,Total,San Buenaventura (CA),"Final figure, complete",2009,103706,"3,4"
United States of America,2000,Total,Thousand Oaks (CA),"Final figure, complete",2002,103703,"3,4"
United States of America,2010,Total,Richmond (CA),"Final figure, complete",2013,103701,"3,4"
Japan,2003,Total,Fukaya,"Final figure, complete",2003,103698,"12,13"
Maldives,2006,Total,MALÃ‰,"Final figure, complete",2007,103693,
Russian Federation,2008,Total,Tobolsk,"Final figure, complete",2009,103691,
United States of America,2012,Total,Daly City (CA),"Final figure, complete",2014,103690,"3,26"
Algeria,1998,Total,Bordj el Kiffan,"Final figure, complete",2003,103690,
United States of America,2008,Total,Fairfield (CA),"Final figure, complete",2009,103683,"3,4"
United States of America,2000,Total,Akron (OH),"Final figure, complete",2002,103670,"3,4"
Denmark,2015,Total,Frederiksberg,"Final figure, complete",2015,103666,"110,115"
Ukraine,2005,Total,Evpatoria,"Final figure, complete",2005,103662,
Canada,2001,Total,Saanich,"Final figure, complete",2009,103656,
Russian Federation,2007,Total,Mezhdurechensk,"Final figure, complete",2008,103654,
Japan,2005,Total,Yokote,"Final figure, complete",2007,103652,"12,13"
Germany,1999,Total,Rostock,"Final figure, complete",1999,103652,
United States of America,2007,Total,Erie (PA),"Final figure, complete",2008,103650,"3,4"
Japan,2004,Total,Fukaya,"Final figure, complete",2004,103647,"12,13"
Brazil,2010,Total,Toledo,"Final figure, complete",2012,103644,
Luxembourg,2013,Total,LUXEMBOURG-VILLE,"Final figure, complete",2013,103641,
Netherlands,2007,Total,Eindhoven,"Final figure, complete",2007,103639,102
Romania,2011,Total,Oradea,"Final figure, complete",2014,103635,
Japan,2010,Total,Yamaguchi,"Final figure, complete",2012,103631,13
Netherlands,2003,Total,Eindhoven,"Final figure, complete",2003,103631,102
Japan,2004,Total,Kamagaya,"Final figure, complete",2004,103627,"12,13"
United States of America,2000,Total,Daly City (CA),"Final figure, complete",2002,103621,"3,4,126"
Russian Federation,2010,Total,Severodvinsk,"Final figure, complete",2013,103620,
United States of America,2000,Total,Lubbock (TX),"Final figure, complete",2002,103618,"3,4"
United States of America,2008,Total,Lowell (MA),"Final figure, complete",2009,103615,"3,4"
Bolivia (Plurinational State of),2001,Total,Oruro,"Final figure, complete",2007,103615,
Poland,2010,Total,Sosnowiec,"Final figure, complete",2011,103612,66
France,2010,Total,Caen,"Final figure, complete",2014,103611.1335,
Switzerland,2011,Total,Luzern,"Final figure, complete",2012,103602,
New Zealand,2003,Total,Tauranga,"Final figure, complete",2004,103600,
Philippines,2010,Total,Magalang,"Final figure, complete",2013,103597,
Russian Federation,2007,Total,Kiselevsk,"Final figure, complete",2008,103595,
Russian Federation,2006,Total,Mezhdurechensk,"Final figure, complete",2007,103592,"16,17"
United States of America,2010,Total,Fayetteville (NC),"Final figure, complete",2013,103588,"3,4"
United States of America,2009,Total,Fairfield (CA),"Final figure, complete",2011,103586,"3,4"
Italy,2010,Total,Bolzano,"Final figure, complete",2011,103582,
Russian Federation,2007,Total,Asbest,"Final figure, complete",2008,103581,
Zambia,2010,Total,Kabwe,"Final figure, complete",2014,103579,
Germany,2011,Total,Oberhausen,"Final figure, complete",2011,103572,
United States of America,2009,Total,Erie (PA),"Final figure, complete",2011,103571,"3,4"
Mauritius,2003,Total,Vacoas - Phoenix,"Final figure, complete",2004,103564,154
