Country or Area,Year,Area,City,Reliability,Source Year,Value,Value Footnotes
Chile,2002,Total,SANTIAGO,"Final figure, complete",2007,5428590,34
France,2010,Total,PARIS,"Final figure, complete",2014,5422839.57,15
India,2001,Total,Delhi,"Final figure, complete",2007,5412497,5
Canada,2006,Total,Toronto,"Final figure, complete",2006,5406324,
Singapore,2013,Total,SINGAPORE,"Final figure, complete",2015,5399162,39
India,2001,Total,Mumbai (Bombay),"Final figure, complete",2007,5358484,5
Russian Federation,2011,Total,MOSKVA,"Final figure, complete",2012,5337790,
Bangladesh,2001,Total,DHAKA,"Final figure, complete",2006,5333571,
Singapore,2012,Total,SINGAPORE,"Final figure, complete",2015,5312437,39
Russian Federation,2010,Total,MOSKVA,"Final figure, complete",2012,5304622,
Russian Federation,2010,Total,MOSKVA,"Final figure, complete",2012,5304622,
Canada,2005,Total,Toronto,Provisional figure,2005,5304090,
China,2000,Total,Shenyang,"Final figure, complete",2002,5303053,
Brazil,2010,Total,Sao Paulo,"Final figure, complete",2012,5278434,
Myanmar,2014,Total,Yangon,Provisional figure,2014,5209541,
Canada,2004,Total,Toronto,"Final figure, complete",2004,5203571,
Nigeria,1991,Total,Lagos,"Final figure, complete",2002,5195247,
Saudi Arabia,2010,Total,RIYADH,"Final figure, complete",2016,5188286,
Singapore,2011,Total,SINGAPORE,"Final figure, complete",2015,5183688,39
Chile,2015,Total,SANTIAGO,"Final figure, complete",2015,5150010,41
United States of America,2000,Total,Philadelphia (PA),"Final figure, complete",2002,5149079,"3,4"
Pakistan,1998,Total,Lahore,"Final figure, complete",2000,5143495,20
Chile,2014,Total,SANTIAGO,"Final figure, complete",2014,5128041,"31,41"
Canada,2006,Total,Toronto,"Final figure, complete",2011,5113145,42
Chile,2013,Total,SANTIAGO,"Final figure, complete",2013,5105860,"31,41"
Canada,2003,Total,Toronto,"Final figure, complete",2003,5101610,
Republic of Korea,2014,Total,SEOUL,"Final figure, complete",2014,5088649,18
Singapore,2010,Total,SINGAPORE,"Final figure, complete",2015,5076732,39
Republic of Korea,2013,Total,SEOUL,"Final figure, complete",2013,5074657,18
Republic of Korea,2011,Total,SEOUL,"Final figure, complete",2012,5072188,18
