City,Country,Art_exhibitions_visits,Cinema_Screens,Cinemas,Creative_Industries_Employment,Educated,Foreign_born,GDP,Area,Concert_Halls,Median Weekly Earnings,Number_of_bars,Number_of_comedy,Number_of_tourists,Number_of_restaurants,Public_libraries,Length.per.resident..mm.,Usage,Annual.ridership,Country.Subdivision,Starbucks,iso_region,total_runways,Total.City.wide.Emissions..metric.tonnes.CO2e.,country.etc,pop,lat,long,capital,Continent
Hong Kong,Hong Kong S.A.R.,3061,209,47,0.056,0.29,0.09,381186,1104,4,538,1200,2,27770000,12564,69,24.7,0.27,1444,91,58,HK-U-A,2,41500000,China,1321432,22.27,114.14,0,Asia
Istanbul,Turkey,2179,704,99,0.016,0.17,NA,394000,5461,NA,144,304,1,11842983,1122,62,8.9,0.01,78,34,81,TR-34,4,NA,Turkey,10034830,41.1,29,0,Europe
Johannesburg,South Africa,NA,368,47,0.045,0.32,0.06,175956,18178,4,184,NA,1,3988335,15000,234,0,0,0,NA,0,ZA-GT,2,26.22,South Africa,2091491,-26.19,28.04,0,Africa
Kuala Lumpur,Malaysia,NA,196,24,NA,0.4013,NA,NA,243,5,NA,NA,2,11200000,NA,NA,69,0.1,109,14,36,MY-14,3,NA,Malaysia,1482359,3.16,101.71,1,Asia
London,United Kingdom,5064,860,158,0.162,0.6,0.36,492584,1572,10,1022.98,2694,18,16800000,24360,353,46.9,0.19,1171,ENG,179,GB-ENG,6,39920355,UK,7489022,51.52,-0.1,1,Europe
Los Angeles,USA,2987,1073,133,0.0542,0.297,0.35,826826,10510,6,559.91,3248,32,6500000,36571,240,4.7,0.01,46,CA,90,US-CA,4,38717974,USA,3911500,34.11,-118.41,0,North America
Madrid,Spain,2999,244,43,0.09,0.319,0.2,175504,604,4,NA,5877,9,3688258,6334,46,52.6,0.16,635,MD,39,ES-M,4,11527000,Spain,3146804,40.42,-3.71,1,Europe
Melbourne,Australia,4153,373,54,0.0418,0.369,0.37,180177,9991,5,591,713,15,1917000,4009,152,0,0,0,NA,0,AU-VIC,2,6442240,Australia,3780871,-37.81,144.96,0,Australia
Milan,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6050100,NA,NA,33,0.15,328,NA,0,IT-25,4,NA,Italy,1316218,45.48,9.19,0,Europe
Montreal,Canada,1794,192,20,0.133,0.352,0.33,88493,624,7,384,1287,NA,1770939,2283,57,18.8,0.08,219,QC,33,CA-QC,3,NA,Canada,3280123,45.52,-73.57,0,North America
Moscow,Russia,17645,585,112,NA,0.43,0.13,382700,2511,4,387,581,NA,5200000,3159,507,31.9,0.31,2389,MOW,52,RU-MOS,7,NA,Russia,10472629,55.75,37.62,1,Europe
Mumbai,India,NA,232,105,0.1601,NA,0.01,209000,437,2,NA,543,1,2195000,13205,80,9,0,100,MH,8,IN-MM,2,NA,India,12883645,18.96,72.82,0,Asia
New York,USA,5918,374,95,0.086,0.345,0.37,1406000,1214,16,1005,2657,24,11805400,23520,217,19.5,0.12,1655,NY,187,US-NY,6,45923778,USA,8124427,40.67,-73.94,0,North America
Osaka,Japan,NA,NA,21,NA,NA,NA,NA,223,3,NA,NA,6,NA,56539,42,12.2,0.1,836,27,37,JP-27,4,NA,Japan,2590815,34.68,135.5,0,Asia
Paris,France,6124,1054,310,0.09,0.381,0.22,730819,12012,15,500,3263,50,15500000,38393,1100,22.2,0.21,1524,J,51,FR-J,7,7413300,France,2141839,48.86,2.34,1,Europe
Philadelphia,USA,NA,82,19,NA,0.377,0.116,NA,367,NA,NA,511,NA,NA,NA,NA,11.3,0.03,107,PA,35,US-PA,4,19780964,USA,1439814,40.01,-75.13,0,North America
Rio de Janeiro,Brazil,5283,189,42,0.0275,0.145,0.01,194900,1200,NA,133.5,12072,0,1400000,6576,74,3.6,0.03,212,RJ,11,BR-RJ,2,20758240,Brazil,6055582,-22.91,-43.2,0,South America
Rome,Italy,NA,203,NA,NA,NA,NA,163005,5363,NA,NA,NA,NA,8780500,14495,36,18.3,0.14,331,NA,0,IT-62,4,NA,Italy,2561181,41.89,12.5,1,Europe
San Francisco,USA,2098,83,25,0.0611,0.524,0.36,388272,121,4,932.42,377,11,3044000,3973,34,48.4,0.04,111,CA,77,US-CA,4,4884340,USA,723724,37.77,-122.45,0,North America
Sao Paulo,Brazil,3182,293,46,0.0246,0.19,0.01,370000,1500,4,136,15000,2,1600000,12500,NA,4.2,0.06,877,SP,28,BR-SP,4,15115000,Brazil,10059502,-23.53,-46.63,0,South America
Seattle,USA,NA,92,27,NA,0.641,0.173,NA,369,NA,NA,NA,3,1574400,NA,NA,8.9,0,0,WA,135,US-WA,6,NA,USA,570430,47.62,-122.35,0,North America
Seoul,South Korea,NA,504,88,0.12,0.348,0.04,335493,605,4,NA,18829,8,11446422,81477,608,33.3,0.35,2518,11,221,KR-28,5,49008230,Korea South,10409345,37.56,126.99,1,Asia
Shanghai,China,NA,765,230,NA,0.429,0,667449,6340,4,228.07,2693,NA,7913000,NA,477,39.2,0.21,2276,31,198,CN-31,6,NA,China,15017783,31.23,121.47,2,Asia
Shenzhen,China,160,527,112,0.0276,0.411,NA,453335,1997,8,119.47,1434,2,1661200,84257,639,30.4,0.02,132,44,52,CN-44,1,NA,China,1072093,22.53,114.13,0,Asia
Singapore,Singapore,NA,207,30,0.018,0.273,0.29,425155,718,4,838.19,659,1,15567900,2426,27,37.7,0.25,794,5,68,SG-04,3,41500000,Singapore,3601745,1.3,103.85,1,Asia
Stockholm,Sweden,NA,136,21,0.06,0.47,0.3,63641,6526,5,630.81,414,20,2.00E+06,2000,90,83.9,0.34,309,AB,2,SE-AB,3,2742000,Sweden,1260712,59.33,18.07,1,Europe
Sydney,Australia,NA,367,57,0.046,0.349,0.4,232012,12145,4,443.27,791,4,3100000,19384,160,5.1,0,0,NA,0,AU-NSW,3,5458899,Australia,4444513,-33.87,151.21,0,Australia
Taipei,Taiwan,2932,183,36,NA,NA,0.03,283990.3,272,4,711.75,234,0,7038496,7061,48,50.5,0.34,652,TPE,93,TW-TAO,2,NA,Taiwan,2491662,25.02,121.45,1,Asia
Tokyo,Japan,6258,334,82,0.112,0.255,0.02,743826,2130,15,1069.54,14184,NA,5940000,150510,377,8.5,0.12,3102,13,1,JP-12,6,64770000,Japan,8372440,35.67,139.77,1,Asia
Toronto,Canada,8969,297,46,0.06,0.69,0.49,125670,630,6,503,957,17,3218400,7961,102,13.7,0.07,278,ON,133,CA-ON,5,20662821.41,Canada,4670783,43.65,-79.38,0,North America
Vienna,Austria,20785,144,27,NA,0.23,0.32,92358,415,7,NA,NA,10,4564276,NA,104,34.1,0.32,534,9,11,AT-9,2,NA,Austria,1570976,48.22,16.37,1,Europe
Warsaw,Poland,3344,139,27,0.016,0.253,NA,62135.56,517,4,NA,NA,NA,2700000,NA,197,16.8,0.11,140,MZ,12,PL-MZ,3,NA,Poland,1634441,52.26,21.02,1,Europe
